Molecule,"Electronic state","Reduced mass","Te (cm^{-1})","omega_e (cm^{-1})","omega_ex_e (cm^{-1})","Be (cm^{-1})","alpha_e (cm^{-1})","De (10^{-7}cm^{-1})","Re (\AA)","D0 (eV)","IP (eV)",Reference,"Date of reference"
BF,"X $^1\Sigma^+$",6.97018325,0,1402.13,11.84,1.50724,0.0198,76,1.26259,7.81,11.115,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BF,"a $^3\Pi$",6.97018325,29144.3,1323.86,9.2,1.4135,0.0158,63,1.3081,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BF,"A $^1\Pi$",6.97018325,51157.45,1264.96,12.53,1.4227,0.018,73,1.3038,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BH,"X $^1\Sigma^+$",0.92330324,0,2366.9,49.395,12.021,0.412,12420,1.2324,3.42,9.77,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BH,"a $^3\Pi$",0.92330324,,,,12.2667,,12200,1.2006,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BH,"A $^1\Pi$",0.92330324,23135.8,2250.99,56.665,12.2952,0.8346,14510,1.2186,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BD,"X $^1\Sigma^+$",1.70262163,0,1703.26,28,6.542,0.171,4200,1.2302,3.46,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BD,"A $^1\Pi$",1.70262163,23142,1594.08,43,6.648,0.28,4030,1.2204,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","APR 1976"
BiBr,"X $0^+$",57.2853673,0,209.5,0.45,0.04322,0.00013,0.07347,2.609503,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiBr,"A $0^+$",57.2853673,20532,135.91,0.534,0.0364,0.00025,,2.84,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiCl,"X $0^+$",29.9562508,0,308.4,0.96,0.0921,,0.31,2.472,3.08,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiCl,"A $0^+$",29.9562508,21801.8,220.3,2.47,0.07927,,0.39,2.664,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiH,"X $0^+$",1.00298823,0,1635.73,31.6,5.137,0.148,1830,1.805,2.9,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiH,"A $1$",1.00298823,4917.1,1669.16,35.4,5.2386,0.1546,1904,1.7912,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiD,"X $0^+$",1.994887609,0,1173.32,16.1,2.592,0.054,506,1.804,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiD,"A $1$",1.994887609,4916,1206.9,19,2.6084,0.058,493,1.79,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiO,"X $^2\Pi_{1/2}$",14.85773557,0,692.4,4.34,0.3034,0.0022,2.21,1.934,3.47,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiO,"X $^2\Pi_{3/2}$",14.85773557,8000,,,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiO,"A $^2\Pi_{1/2}$",14.85773557,14187,508.8,2.78,0.24715,0.00167,2.33,2.1426,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiS,"X $^2\Pi$",27.7296867,0,408.71,1.46,0.11276,0.00049,0.334,2.3194,3.17,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BiS,"A $^2\Pi$",27.7296867,13343.9,303.74,1.159,0.09258,0.00042,0.35,2.563,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1976"
BN,"X $^3\Pi$",6.16351276,0,1514.6,12.3,1.666,0.025,81,1.281,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BN,"A $^3\Pi$",6.16351276,27875,1317.6,14.9,1.555,0.01,87,1.326,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BO,"X $^2\Sigma^+$",6.52094009,0,1885.69,11.81,1.782,0.0166,63.2,1.2045,8.28,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BO,"A $^2\Pi$",6.52094009,23833.7,,,1.4018,,76.3,1.3533,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BO,"A $^2\Pi$",6.52094009,23958.76,1260.7,11.157,1.4018,0.0196,76.3,1.3533,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BS,"X $^2\Sigma^+$",8.18936774,0,1180.17,6.31,0.79489,0.00605,14,1.6092,6.01,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BS,"A $^2\Pi$",8.18936774,15876,753.16,4.67,0.6185,0.0059,16.9,1.8182,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
BS,"A $^2\Pi$",8.18936774,16209.7,753.61,4.67,0.6209,0.0059,16.9,1.8182,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUN 1976"
CaF,"X $^2\Sigma^+$",12.8767412,0,581.1,2.74,0.3385,0.0026,4.5,1.967,5.48,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CaF,"A $^2\Pi$",12.8767412,16489.8,586.8,3.427,0.3436,0.0028,4.6,1.952,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CaF,"A $^2\Pi$",12.8767412,16562.3,593.4,3.113,0.3436,0.0028,4.6,1.952,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CaH,"X $^2\Sigma^+$",0.98303388,0,1298.34,19.1,4.2766,0.097,1837,2.0025,1.7,5.86,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CaH,"A $^2\Pi$",0.98303388,14413,1333,20,4.34769,0.106,1883,1.974,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CaO,"X $^1\Sigma^+$",11.42292245,0,732.11,4.81,0.44452,0.00338,6.58,1.8221,4.76,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CaO,"a $^3\Pi$",11.42292245,8313,556,3.3,0.335,0.0015,,2.099,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CaO,"A' $^1\Pi$",11.42292245,8433,545.7,2.54,0.337,0.0021,,2.093,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CaS,"X $^1\Sigma^+$",17.761769,0,462.23,1.78,0.17667,0.000837,1.02,2.3178,3.46,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CaS,"A $^1\Sigma^+$",17.761769,15220.79,409.04,0.818,0.16666,0.000605,1.09,2.3864,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
CF,"X $^2\Pi$",7.35459964,0,1308.1,11.1,1.4172,0.0184,65,1.2718,5.67,9.2,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1974"
CF,"a $^4\Sigma^-$",7.35459964,22000,1324,11,1.302,0.013,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1974"
CF,"A $^2\Sigma^+$",7.35459964,42692.9,1780.4,30.73,1.7228,0.0189,68,1.1535,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1974"
CF,"B $^2\Delta$",7.35459964,49399.6,1153.34,19.4,1.3206,0.0228,40,1.3174,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1974"
CH,"X $^2\Pi$",0.92974056,0,2858.5,63.02,14.457,0.534,14500,1.1199,3.46,10.64,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1976"
CH,"a $^4\Sigma^-$",0.92974056,5844,3145,72,15.4,0.55,,1.085,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1976"
CH,"A $^2\Delta$",0.92974056,23189.8,2930.7,96.65,14.934,0.697,15400,1.1019,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1976"
CD,"X $^2\Pi$",1.7246361,0,2099.75,34.02,7.806,0.208,4200,1.119,3.5,10.64,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1976"
CD,"A $^2\Delta$",1.7246361,23184.4,2203.3,78.5,8.032,0.26,4500,1.1032,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1976"
ClF,"X $^1\Sigma^+$",12.3102869,0,786.15,6.161,0.51648,0.0043577,8.77,1.628313,2.617,12.66,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
ClF,"B $^3\Pi_0^+$",12.3102869,18826.4,363.1,8.64,0.3319,0.0047,10,2.031,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
ClO,"X $^2\Pi$",10.97493095,0,853.8,5.5,0.62345,0.0058,13.3,1.56963,2.751,11,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
ClO,"X $^2\Pi$",10.97493095,318,853.8,5.5,0.62345,0.0058,13.3,1.56963,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
ClO,"A $^2\Pi$",10.97493095,31650,519.5,7.2,0.445,0.006,13.1,1.858,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
ClO,"A $^2\Pi$",10.97493095,32169,519.5,7.2,0.445,0.006,13.1,1.858,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CN,"X $^2\Sigma^+$",6.46219329,0,2068.59,13.087,1.89974,0.017369,64,1.17182,7.76,14.17,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CN,"A $^2\Pi$",6.46219329,9245.28,1812.56,12.609,1.7151,0.01708,59.3,1.2333,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CO,"X $^1\Sigma^+$",6.85620871,0,2169.81538,13.28831,1.93128,0.0175,61.2147,1.128323,11.092,14.014,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CO,"a $^3\Pi$",6.85620871,48686.7,1743.41,14.36,1.69124,0.01904,63.6,1.20574,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CO,"a' $^3\Sigma^+$",6.85620871,55825.49,1228.6,10.468,1.3446,0.01892,64.1,1.3523,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CO,"d $^3\Delta$",6.85620871,61120.1,1171.94,10.635,1.3108,0.01782,6.59,1.3696,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CO,"e $^3\Sigma^+$",6.85620871,64230.24,1117.72,10.686,1.2836,0.01753,67.7,1.384,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CO,"A $^1\Pi$",6.85620871,65075.77,1518.24,19.4,1.6115,0.02325,73.3,1.2353,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CoD,"X$_1$ $4$",1.94754294,0,1373.22,17.59,3.7571,0.0747,1125,1.51785,3.2,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1974"
CoD,"X$_2$ $3$",1.94754294,,,,3.7559,,1223,1.5181,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1974"
CoD,"A$_1$ $4$",1.94754294,22367.4,1180.9,32.7,3.394,0.106,1000,1.597,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1974"
CP,"X $^2\Sigma^+$",8.64911823,0,1239.67,6.86,0.7986,0.00597,13.3,1.5622,5.28,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CP,"A $^2\Pi$",8.64911823,6894.9,1061.99,6.035,0.7135,0.0058,13,1.653,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CP,"A $^2\Pi$",8.64911823,7053.2,1061.99,6.035,0.7135,0.0058,13,1.653,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CrH,"X $^6\Sigma^+$",0.98864215,0,1581.2,32,6.22,0.179,3470,1.6557,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1974"
CrH,"A $^6\Sigma^+$",0.98864215,11611,1479.4,21.5,5.337,0.131,2470,1.787,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1974"
CrO,"X $^5\Pi$",12.22902549,0,898.4,6.75,,,,1.615,4.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1974"
CrO,"B $^5\Pi$",12.22902549,16586,750.5,9.4,,,,1.703,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","DEC 1974"
CS,"X $^1\Sigma^+$",8.72519418,0,1285.08,6.46,0.82005,0.005924,14.3,1.534941,7.35,11.335,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CS,"a $^3\Pi$",8.72519418,27661,1135.1,7.73,0.7851,0.0072,19.4,1.5687,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CS,"a' $^3\Sigma^+$",8.72519418,31331.4,830.7,5.04,0.6489,0.006,15.8,1.7255,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CS,"d $^3\Delta$",8.72519418,35675,795.6,4.91,0.6367,0.0061,16.3,1.742,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CS,"e $^3\Sigma^-$",8.72519418,38683,752,4.7,0.6194,0.004,16.8,1.766,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CS,"A $^1\Pi$",8.72519418,38904.4,1073.4,10.1,0.78,0.0063,16.5,1.5739,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1976"
CsH,"X $^1\Sigma^+$",1.00024037,0,891,12.93,2.7099,0.0579,1130,2.4938,1.81,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1976"
CsH,"A $^1\Sigma^+$",1.00024037,17845.8,165.7,-7.77,1.075,-0.021,980,3.96,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","NOV 1976"
CuF,"X $^1\Sigma^+$",14.5928363,0,622.65,3.95,0.3794,0.0032298,5.63,1.74493,4.42,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuF,"A $^1\Pi$",14.5928363,17543.4,649.2,4,0.3675,,,1.773,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuH,"X $^1\Sigma^+$",0.99193919,0,1941.26,37.51,7.9441,0.2563,5200,1.46263,2.73,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
CuH,"A $^1\Sigma^+$",0.99193919,23434.2,1698.4,44,6.874,0.263,4350,1.5724,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
CuD,"X $^1\Sigma^+$",1.95163876,0,1384.14,18.97,4.0381,0.0917,1362,1.46255,2.76,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
CuD,"A $^1\Pi$",1.95163876,23412.9,1210.9,19.5,3.521,0.0096,1160,1.5663,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1975"
CuI,"X $^1\Sigma^+$",42.0685643,0,264.5,0.6,0.07328742,0.0002839,0.22439,2.338324,3.27,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuI,"A $^1\Pi$",42.0685643,19734.2,213.3,2.22,0.06761,0.00042,0.27,2.435,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuO,"X$_1$ $^2\Pi$",12.75337037,0,640.17,4.43,0.44454,0.00456,8.5,1.72437,2.79,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuO,"X$_2$ $^2\Pi$",12.75337037,279.02,636.18,4.36,0.44415,0.00449,8.4,1.72513,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuO,"A $^2\Sigma^+$",12.75337037,16491.3,631.02,6,0.43387,0.00475,7.93,1.74543,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1975"
CuS,"X $^2\Pi$",21.2007816,0,415,1.75,0.1891,,1.8,2.051,2.8,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CuS,"X $^2\Pi$",21.2007816,433.4,413.4,1.65,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CuS,"A $^2\Sigma^+$",21.2007816,17946.1,375.2,3.66,0.1806,,1.8,2.099,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CuSe,"X $^2\Pi$",35.2065168,0,302.37,0.99,0.10774,,0.59,2.1081,2.55,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CuSe,"X $^2\Pi$",35.2065168,1590.9,302.37,0.99,0.10775,,0.59,2.1081,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CuSe,"A $^2\Sigma^+$",35.2065168,17960.4,253,2.74,0.10169,,0.7,2.1699,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
CuTe,X,42.3933,0,252.67,0.701,0.07205,0.00028,0.265,2.349,2.35,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1975"
CuTe,A,42.3933,15991.92,200.58,2.009,0.0673,0.00052,0.341,2.431,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1975"
GaCl,"X $^1\Sigma^+$",23.1990149,0,365.3,1.2,0.1499045,0.0007936,1.01,2.20169,4.92,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaCl,"A $^3\Pi_0^+$",23.1990149,29527.2,395.3,2.3,0.15779,,,2.146,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaF,"X $^1\Sigma^+$",14.8932747,0,622.2,3.2,0.3595161,0.0028642,5,1.774369,5.98,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaF,"A $^3\Pi_0^+$",14.8932747,33105.5,663.02,2.18,0.37098,0.00302,,1.7467,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaH,"X $^1\Sigma^+$",0.99330124,0,1604.52,28.77,6.137,0.181,3420,1.663,2.84,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaH,"a $^3\Pi_0^-$",0.99330124,17333,1492.5,,6.358,0.22,2430,1.6338,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaH,"a $^3\Pi_0^+$",0.99330124,17337.08,1640.54,62.72,6.394,0.276,2620,1.6292,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaH,"a $^3\Pi_1$",0.99330124,17622.01,1631.17,58.22,6.692,0.326,4890,1.5925,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaH,"a $^3\Pi_2$",0.99330124,,,,6.811,,6200,1.5785,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1976"
GaH,"A $^1\Pi$",0.99330124,,,,5.1,,,1.82,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GaO,"X $^2\Sigma^+$",12.98224643,0,767.5,6.24,0.4271,,3.7,1.7436,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GaO,"B $^2\Sigma^+$",12.98224643,25706.9,762.9,3.44,0.4013,,2.9,1.7988,3.91,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeF,"X $^2\Pi_{1/2}$",15.1139772,0,665.67,3.15,0.36578,0.002675,4.47,1.7452,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeF,"X $^2\Pi_{3/2}$",15.1139772,934.33,667.33,3.15,0.3666,0.002675,4.5,1.7452,5,7.46,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeF,"A $^2\Sigma^+$",15.1139772,23316.65,413.03,1.124,0.32039,0.00307,7.78,1.86582,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeH,"X $^2\Pi$",0.99389799,0,1833.77,37,6.725,0.1916,3260,1.588,3.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeH,"a $^4\Sigma^-$",0.99389799,16747,,,6.7654,,4600,1.5834,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
GeH,"A $^2\Delta$",0.99389799,25454,1185.15,127,6.535,0.6196,5710,1.611,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1976"
